set,class,polarity,intercept,per_carbon,per_double_bond,r2,residual_sd,n_used,n_total,usable
Set 1,TG,Pos,6.766574209756428,0.0663763332381142,-0.11519224047561431,0.9978563475819361,0.02004077379493893,127,141,1
Set 1,PC,Pos,4.792536345386902,0.11296145235117418,-0.17602533389112085,0.9942216420701364,0.04031450162922867,105,180,1
Set 2,TG,Pos,6.683146627908288,0.2084757348955943,-0.553141332873685,0.8797694286614217,0.31379355474218645,103,143,1
Set 2,PC,Pos,3.9748396504710626,0.1568575919540347,-0.2546992340875444,0.8119704389144544,0.18072713892019684,61,92,1
