polarity,arm,wasted,on_excluded_mass,ms2_scans_replicates,ms2_confirmed,delivered,molecules
Pos,without lists,39.514389146889975,31.699409658376076,20666,406,543,267
Pos,with lists,14.893452748610253,1.5081799591002045,19560,430,548,285
Neg,without lists,62.73699773873717,57.221647707687005,17406,89,91,82
Neg,with lists,22.88028683354359,1.7946755124606617,11757,100,103,90
